Date,Day,Predicted_Balance,Lower_CI_95,Lower_CI_90,Lower_CI_80,Upper_CI_80,Upper_CI_90,Upper_CI_95,Daily_Change,Cumulative_Change,Weekly_Change
2024-12-04,1,0.8276479,0.72783613,0.74105054,0.76302576,0.8907892,0.9098209,0.9240083,,0.0,
2024-12-05,2,0.83879364,0.7473178,0.75877583,0.77601266,0.9018468,0.9149697,0.928352,0.011145711,0.011145711,
2024-12-06,3,0.83965594,0.7398615,0.75834984,0.7792195,0.90218747,0.9162443,0.9315312,0.0008623004,0.012008011,
2024-12-07,4,0.8236575,0.7243648,0.74397075,0.7647452,0.8872606,0.9033157,0.9185401,-0.015998423,-0.0039904118,
2024-12-08,5,0.81205255,0.71729076,0.7310598,0.748839,0.8737299,0.8902574,0.90538454,-0.011604965,-0.0155953765,
2024-12-09,6,0.7732048,0.67101383,0.6885429,0.7086722,0.8381598,0.8593479,0.8768702,-0.038847744,-0.05444312,
2024-12-10,7,0.81869155,0.71908015,0.7371958,0.75502765,0.8807305,0.89876145,0.91505146,0.04548675,-0.008956373,
2024-12-11,8,0.8117117,0.7192389,0.736443,0.751187,0.874728,0.88801634,0.9002504,-0.006979823,-0.015936196,-0.015936196
2024-12-12,9,0.8239125,0.71715015,0.7303715,0.7519955,0.8959325,0.9176103,0.9334281,0.012200773,-0.003735423,-0.014881134
2024-12-13,10,0.8052799,0.7086425,0.7240005,0.7412606,0.8674235,0.88630265,0.90069073,-0.01863259,-0.022368014,-0.034376025
2024-12-14,11,0.8036835,0.70884687,0.7241201,0.7416573,0.8649535,0.88303167,0.896617,-0.0015963912,-0.023964405,-0.019973993
2024-12-15,12,0.81058294,0.7157705,0.7318936,0.7481638,0.87227565,0.88836664,0.9033064,0.0068994164,-0.017064989,-0.0014696121
2024-12-16,13,0.8642504,0.7701941,0.78303784,0.80080336,0.92744124,0.9421964,0.9650205,0.053667486,0.036602497,0.09104562
2024-12-17,14,0.8815314,0.78831285,0.80720234,0.8216556,0.9411717,0.9614849,0.98238164,0.017280996,0.053883493,0.062839866
2024-12-18,15,0.8436611,0.74472106,0.7578207,0.774674,0.90871006,0.927404,0.94896346,-0.037870288,0.016013205,0.0319494
2024-12-19,16,0.8227891,0.7182232,0.74044967,0.7567367,0.8885949,0.9020854,0.9135189,-0.020872056,-0.0048588514,-0.0011234283
2024-12-20,17,0.7119257,0.6236376,0.63482106,0.64956146,0.77442783,0.7913737,0.8071535,-0.11086339,-0.11572224,-0.093354225
2024-12-21,18,0.66660064,0.5693448,0.5833203,0.60328454,0.73063725,0.74831206,0.7624504,-0.04532504,-0.16104728,-0.13708287
2024-12-22,19,0.6610933,0.56152326,0.57868856,0.5986672,0.7256164,0.7398422,0.7500875,-0.00550735,-0.16655463,-0.14948964
2024-12-23,20,0.7923005,0.69703466,0.7075805,0.73097515,0.854509,0.87867206,0.8936275,0.13120723,-0.035347402,-0.0719499
2024-12-24,21,0.7013106,0.60287446,0.62279975,0.6368424,0.76723766,0.786966,0.8001188,-0.09098995,-0.12633735,-0.18022084
2024-12-25,22,0.76218474,0.6645437,0.67784363,0.69720215,0.82530993,0.84594977,0.8562602,0.060874164,-0.065463185,-0.08147639
2024-12-26,23,0.7607168,0.6496471,0.6684906,0.6868689,0.8354953,0.8570997,0.8784716,-0.0014679432,-0.06693113,-0.062072277
2024-12-27,24,0.7804556,0.6876388,0.7001734,0.7186387,0.8445819,0.8627278,0.884309,0.019738793,-0.047192335,0.068529904
2024-12-28,25,0.8790982,0.78388846,0.79603314,0.81525785,0.94567,0.9677959,0.9786874,0.09864259,0.051450253,0.21249753
2024-12-29,26,0.8135615,0.7211176,0.73149276,0.7476914,0.8765394,0.89420885,0.90956074,-0.06553668,-0.014086425,0.1524682
2024-12-30,27,0.86670756,0.7664898,0.77911437,0.8026355,0.9337403,0.9477026,0.9599939,0.053146064,0.03905964,0.07440704
2024-12-31,28,0.937677,0.8398769,0.85282147,0.87276864,1.0034119,1.0246856,1.0448289,0.07096946,0.1100291,0.23636645
2025-01-01,29,0.90680045,0.8119253,0.8261876,0.84184855,0.9736575,0.9900634,1.0022788,-0.030876577,0.079152524,0.14461571
2025-01-02,30,0.95813835,0.84949356,0.8701225,0.8879454,1.02635,1.0482101,1.0641797,0.051337898,0.13049042,0.19742155
