Time,Forecast_Balance,Denormalized_Actual,Day_Number,Daily_Change_Actual,Cumulative_Change_Actual
2024-12-04,0.6960847,117215.02,1,,0.0
2024-12-05,0.7050942,118731.055,2,1516.0312,1516.0312
2024-12-06,0.7275883,122516.125,3,3785.0703,5301.1016
2024-12-07,0.71774715,120860.16,4,-1655.9688,3645.1328
2024-12-08,0.72234434,121633.73,5,773.5703,4418.703
2024-12-09,0.7074115,119120.984,6,-2512.7422,1905.9609
2024-12-10,0.6713578,113054.24,7,-6066.742,-4160.7812
2024-12-11,0.6583402,110863.78,8,-2190.461,-6351.242
2024-12-12,0.6267881,105554.516,9,-5309.2656,-11660.508
2024-12-13,0.6026817,101498.15,10,-4056.3672,-15716.875
2024-12-14,0.56356126,94915.37,11,-6582.7812,-22299.656
2024-12-15,0.54955524,92558.586,12,-2356.7812,-24656.438
2024-12-16,0.5209022,87737.15,13,-4821.4375,-29477.875
2024-12-17,0.5011464,84412.84,14,-3324.3047,-32802.18
2024-12-18,0.4800052,80855.43,15,-3557.414,-36359.594
2024-12-19,0.46719915,78700.56,16,-2154.8672,-38514.46
2024-12-20,0.44972882,75760.836,17,-2939.7266,-41454.188
2024-12-21,0.42577684,71730.445,18,-4030.3906,-45484.58
2024-12-22,0.4705527,79264.87,19,7534.422,-37950.156
2024-12-23,0.5348039,90076.38,20,10811.516,-27138.64
2024-12-24,0.58838636,99092.68,21,9016.297,-18122.344
2024-12-25,0.68110937,114695.13,22,15602.453,-2519.8906
2024-12-26,0.7390106,124438.14,23,9743.008,7223.117
2024-12-27,0.76637065,129042.01,24,4603.867,11826.984
2024-12-28,0.82102716,138239.05,25,9197.039,21024.023
2024-12-29,0.8433216,141990.52,26,3751.4688,24775.492
2024-12-30,0.84054446,141523.2,27,-467.3125,24308.18
2024-12-31,0.8115697,136647.64,28,-4875.5625,19432.617
2025-01-01,0.7589957,127801.03,29,-8846.609,10586.008
2025-01-02,0.7089707,119383.35,30,-8417.68,2168.3281
